"Dataset","Line","SampleName","Type","CalLevel","petn_pa","petn_qual57_pa","petn_qual76_pa","petn_qual57_ratio","petn_qual76_ratio","rdx_pa","rdx_qual46_pa","rdx_qual75_pa","rdx_qual46_ratio","rdx_qual75_ratio"
"Lab17-1",6,"4ng RDX PETN             ","Cal",4,159686.459292392,6811.13958058502,14562.3251445759,0.042653206857781,0.0911932371041663,21145.7669682841,137609.471809018,55441.8487346982,6.50766047007963,2.62188875995152
"Lab17-1",7,"6ng RDX PETN             ","Cal",6,275130.426955823,11025.061474575,25512.552116492,0.0400721272327516,0.092728937321747,38464.9669430696,235026.960227363,91671.1003601055,6.11015630340243,2.38323616645204
"Lab17-1",8,"8ng RDX PETN             ","Cal",8,395229.27211751,15256.3186753821,37086.4901819073,0.0386011860752209,0.0938353831516829,52435.5043873814,311161.871452226,119854.182445786,5.93418286116662,2.28574481825007
"Lab17-1",9,"10ng RDX PETN            ","Cal",10,557410.690896163,20877.8335305068,53480.0147667012,0.0374550288889167,0.0959436473683704,76309.4611441913,431417.100844641,167773.364609769,5.6535204727688,2.19859191893324
"Lab29",7,"0.2ng RDX PETN           ","Cal",0.2,6659.1571524168,NA,705.054532054998,NA,0.105877443033329,1738.48413735474,13766.2279416808,11095.4890005824,7.9185237563498,6.38227796398832
"Lab29",8,"2ng RDX PETN             ","Cal",2,35811.8801752436,NA,3864.02056821997,NA,0.107897729728559,7020.17507894186,44788.4903442949,20523.8278858704,6.37996771314795,2.92354929258601
"Lab29",9,"4ng RDX PETN             ","Cal",4,76385.2420896754,1387.65250629001,8215.60687142094,0.0181665000768201,0.107554897342289,15464.1737573403,91201.0623335377,37608.7881474522,5.89757097693291,2.43199466958916
"Lab29",10,"6ng RDX PETN             ","Cal",6,125956.741644024,3160.31132353765,13621.033306575,0.0250904499615372,0.108140565790995,25591.9511282036,143617.007433007,56494.3390796773,5.61180375476467,2.20750417960191
"Lab29",11,"8ng RDX PETN             ","Cal",8,167240.679336415,4564.46853666786,18195.0466116648,0.0272928126983157,0.108795579423977,33369.3442779753,181223.98284334,69918.8686307519,5.43085238156606,2.09530244431265
"Lab29",12,"10ng RDX PETN            ","Cal",10,217799.147908145,7675.00200624247,23875.8932320668,0.0352388982232352,0.109623446470673,44042.1322269355,231530.609722829,88236.5868813181,5.25702544395043,2.00345856160329
"Lab33",6,"0.2ng RDX PETN           ","Cal",0.2,6130.07633692564,NA,647.460078621996,NA,0.105620230978512,1421.13329947998,11667.2594825166,9417.04092421415,8.20982766837275,6.62643041835697
"Lab33",7,"2ng RDX PETN             ","Cal",2,34671.7721666881,NA,3661.21816402995,NA,0.105596510799283,6381.61003571249,42450.2209220118,19461.4679128929,6.65196097606305,3.04961722887852
"Lab33",8,"4ng RDX PETN             ","Cal",4,72880.7385266225,1005.13178094299,7816.77419783899,0.0137914598735279,0.10725432200421,13775.3555534892,83304.8374628314,34543.5166855835,6.0473820177898,2.50763158536651
"Lab33",9,"6ng RDX PETN             ","Cal",6,121640.297657284,2867.73192070935,13066.2234129259,0.023575508905684,0.107416897726931,24597.2016792753,140786.825790129,55821.2145292713,5.72369278529561,2.26941321444318
"Lab33",10,"8ng RDX PETN             ","Cal",8,165767.192923772,4372.74817962745,18143.940424192,0.0263788515839697,0.1094543504307,33348.8858471494,184840.829848837,71069.8726051096,5.54263883645267,2.13110185842039
"Lab33",11,"10ng RDX PETN            ","Cal",10,214561.678002557,7085.79316027623,23601.7664667991,0.0330245047775577,0.109999915579136,46789.8613046609,247777.898452552,95250.3810616313,5.29554676042329,2.03570556538801
"Lab9",8,"0.2ng RDX PETN           ","Cal",0.2,2619.23973278676,NA,303.368704059,NA,0.11582319108157,766.202620374498,8334.75185440298,7683.29760369553,10.8779996736753,10.0277621080703
"Lab9",9,"2ng RDX PETN             ","Cal",2,36049.7905353301,153.152795430005,3683.226813166,0.00424836852463566,0.102170546859525,7163.14612707541,46925.0183306078,20385.8594890889,6.55089502547486,2.84593656578274
"Lab9",10,"4ng RDX PETN             ","Cal",4,73882.3017820088,631.585326296793,7757.27934024792,0.00854853342496418,0.104995095620274,14013.9319785853,87291.8682518934,33716.7134165025,6.22893477614164,2.40594241987367
