"Dataset","Line","SampleName","Type","petn_snr_flag","petn_qual76_snr_flag","petn_qual76_detected","rdx_snr_flag","rdx_qual46_snr_flag","rdx_qual75_snr_flag","rdx_qual46_detected","rdx_qual75_detected","rdx_both_detected","rdx_either_detected"
"Lab29",41,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",42,"Lab29 P2 ABS-S3          ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",43,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",44,"Lab29 P2 ABS-S4          ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",45,"EtOH Blank               ","Blank","Below_LOQ",NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",46,"Lab29 P2 ABS-S5          ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",47,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",48,"Lab29 P2 ABS-S6          ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",49,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",50,"0.2ng RDX PETN QC        ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",51,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",52,"6ng RDX PETN QC          ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",53,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ","Below_LOD",TRUE,FALSE,FALSE,TRUE
"Lab29",54,"Lab29 P1 S NC            ","Sample",NA,NA,FALSE,NA,"Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",55,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",56,"Lab29 P1 S1              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",57,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",58,"Lab29 P1 S2              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",59,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",60,"Lab29 P1 S3              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",61,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",62,"Lab29 P1 S4              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",63,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOQ",NA,TRUE,FALSE,FALSE,TRUE
"Lab29",64,"Lab29 P1 S5              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",65,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",66,"Lab29 P1 S6              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",67,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",68,"0.2ng RDX PETN QC        ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",69,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",70,"6ng RDX PETN QC          ","QC","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",71,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD","Below_LOD",FALSE,FALSE,FALSE,FALSE
"Lab29",72,"Lab29 P2 S NC            ","Sample",NA,NA,FALSE,NA,"Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",73,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",74,"Lab29 P2 S1              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",75,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",76,"Lab29 P2 S2              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
"Lab29",77,"EtOH Blank               ","Blank",NA,NA,FALSE,NA,"Below_LOD",NA,FALSE,FALSE,FALSE,FALSE
"Lab29",78,"Lab29 P2 S3              ","Sample","Quantifiable","Quantifiable",TRUE,"Quantifiable","Quantifiable","Quantifiable",TRUE,TRUE,TRUE,TRUE
