Uncorrected Explosive,Corrected Explosive,No Practical Use?
_-CL-20,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL-20,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL-20 BASED EXPLOSIVE INK,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL-20/HMX CO-CRYSTAL,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL-20/NTO COCRYSTAL EXPLOSIVE,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL-20/RDX-CMDB PROPELLANT,Hexanitrohexaazaisowurtzitane (CL-20),NA
CL20,Hexanitrohexaazaisowurtzitane (CL-20),NA
HEXAAZAISOWURTZITANE (CL-20),Hexanitrohexaazaisowurtzitane (CL-20),NA
HEXANITROHEXAAZAISOWURTZITANE,Hexanitrohexaazaisowurtzitane (CL-20),NA
HEXANITROHEXAAZAISOWURTZITANE (CL-20),Hexanitrohexaazaisowurtzitane (CL-20),NA
"HEXANITROHEXAAZAISOWURTZITANE/2,4,6-TRINITROTOLUENE (CL-20/TNT) COCRYSTAL EXPLOSIVE",Hexanitrohexaazaisowurtzitane (CL-20),NA
NANO-CL-20,Hexanitrohexaazaisowurtzitane (CL-20),NA
HEXANITROOXANILIDE,Hexanitrooxanilide,NA
"2,2',4,4',6,6'-HEXANITROSTILBENE",Hexanitrostilbene (HNS),NA
HEXANITROSTILBENE,Hexanitrostilbene (HNS),NA
HEXANITROSTILBENE (HNS),Hexanitrostilbene (HNS),NA
HNS,Hexanitrostilbene (HNS),NA
JD-X,Hexanitrostilbene (HNS),NA
HYDRAZINE NITRATE,Hydrazine Nitrate,NA
HYDRAZINE PERCHLORATE,Hydrazine Perchlorate,NA
ISOSORBITOL DINITRATE,Isosorbitol Dinitrate,NA
JA2,JA2,NA
LEAD AZIDE,Lead Azide,NA
LEAD CHROMATE,Lead Chromate,NA
LEAD DIOXIDE,Lead Dioxide,NA
LEAD NITRATE,Lead Nitrate,NA
LEAD PICRATE,Lead Picrate,NA
LEAD STYPHNATE,Lead Styphnate,NA
LITHIUM NITRATE,Lithium Nitrate,NA
LITHIUM PERCHLORATE,Lithium Perchlorate,NA
MANNITOL HEXANITRATE,Mannitol Hexanitrate (MHN),NA
MANNITOL HEXANITRATE (MHN),Mannitol Hexanitrate (MHN),NA
MHN,Mannitol Hexanitrate (MHN),NA
Mercury Fulminate,Mercury Fulminate,NA
MERCURY FULMINATE,Mercury Fulminate,NA
