"RetentionTime","TIC","Mass","Intensity"
223.99098,11342,44,11342.92
224.247,11265,44,11265.04
224.502,11261,44,11261.58
224.757,11312,44,11312.74
225.012,11297,44,11297.91
225.26802,11347,44,11347.06
225.52302,11451,44,11451.18
225.77802,11323,44,11323.16
226.03398,11057,44,11057.25
226.28898,11063,44,11063.43
226.54398,11366,44,11366.47
226.8,11756,44,11756.46
227.055,12176,44,12176.46
227.31102,12333,44,12333.13
227.56602,11883,44,11883.45
227.82102,11235,44,11235.68
228.07602,10950,44,10950.11
228.33198,10949,44,10949.15
228.58698,11093,44,11093.51
228.84198,11424,44,11424.82
229.09698,11736,44,11736.21
229.353,11766,44,11766.7
229.608,11610,44,11610.64
229.86402,11547,44,11547.36
230.11902,11663,44,11663.96
230.37402,11731,44,11731.74
230.62998,11518,44,11518.46
230.88498,11247,44,11247.96
231.141,11314,44,11314.9
231.396,11707,44,11707.78
231.651,12033,44,12033.5
231.90702,11986,44,11986.8
232.16202,11820,44,11820.26
232.41702,11934,44,11934.12
232.67202,12074,44,12074.39
232.92702,11801,44,11801.72
233.18298,11324,44,11324.94
233.43798,11075,44,11075.96
233.694,11107,44,11107.61
233.949,11298,44,11298.74
234.204,11490,44,11490.53
234.46002,11436,44,11436.57
234.71502,11103,44,11103.54
234.97002,10778,44,10778.7
235.22598,10791,44,10791.71
235.48098,11197,44,11197.42
235.73598,11561,44,11561.16
235.992,11485,44,11485.5
236.247,11300,44,11300.46
236.502,11483,44,11483.72
236.757,11790,44,11790.71
237.01302,11719,44,11719.81
237.26802,11448,44,11448.04
237.52398,11478,44,11478.59
237.77898,11665,44,11665.22
238.03398,11538,44,11538.39
238.29,11253,44,11253.74
238.545,11279,44,11279.46
238.8,11574,44,11574.05
239.055,11771,44,11771.55
239.31,11800,44,11800.43
239.56602,11823,44,11823.99
239.82102,11798,44,11798.99
240.07698,11560,44,11560.89
240.33198,11198,44,11198.8
240.58698,10999,44,10999.03
240.843,11042,44,11042.1
241.098,11173,44,11173.09
241.353,11340,44,11340.95
241.608,11541,44,11541.84
241.86402,11629,44,11629.96
242.11902,11502,44,11502.46
242.37498,11322,44,11322.11
242.62998,11453,44,11453.32
242.88498,11913,44,11913.07
243.13998,12111,44,12111.98
243.396,11773,44,11773.35
243.651,11406,44,11406.04
243.906,11350,44,11350.15
244.16202,11388,44,11388.82
244.41702,11344,44,11344.67
244.67202,11226,44,11226.88
244.92798,11122,44,11122.85
245.18298,11244,44,11244.19
245.43798,11499,44,11499.28
245.69298,11497,44,11497.12
245.949,11302,44,11302.89
246.204,11224,44,11224.99
246.459,11258,44,11258.89
246.71502,11370,44,11370.58
246.97002,11510,44,11510.92
247.22502,11534,44,11534.41
247.48098,11542,44,11542.91
247.73598,11640,44,11640.54
247.99098,11656,44,11656.94
248.24598,11508,44,11508.06
248.502,11291,44,11291.6
248.757,11125,44,11125.41
249.012,11150,44,11150.15
249.26802,11350,44,11350.08
249.52302,11575,44,11575.92
249.77802,11784,44,11784.1
250.03398,11852,44,11852.75
250.28898,11608,44,11608.97
250.54398,11267,44,11267.66
250.79898,11215,44,11215.61
251.055,11456,44,11456.86
251.31,11657,44,11657.99
251.56602,11579,44,11579.44
251.82102,11342,44,11342.85
252.07602,11216,44,11216.16
252.33102,11204,44,11204.09
252.58698,11131,44,11131.82
252.84198,11126,44,11126.39
253.09698,11369,44,11369.77
253.35198,11549,44,11549.73
253.608,11396,44,11396.74
253.863,11177,44,11177.64
254.11902,11154,44,11154.92
254.37402,11319,44,11319.58
254.62902,11609,44,11610
254.88402,11847,44,11847.29
255.13998,11727,44,11727.28
255.39498,11235,44,11235.33
255.64998,10749,44,10749.2
255.90498,10565,44,10565.87
256.161,10687,44,10687.28
256.416,10971,44,10971.63
256.67202,11178,44,11178.7
256.92702,11258,44,11258.8
257.18202,11440,44,11440.56
257.43702,11702,44,11702.09
257.69298,11803,44,11803.89
257.94798,11703,44,11703.21
258.20298,11515,44,11515.75
258.45798,11457,44,11457.63
258.714,11667,44,11667.03
258.969,11875,44,11875.47
259.22502,11792,44,11792.42
259.48002,11673,44,11673.17
259.73502,11865,44,11865.07
259.99098,12106,44,12106.03
260.24598,12005,44,12005.67
260.50098,11691,44,11691.84
260.75598,11492,44,11492.72
261.012,11578,44,11578.51
261.267,11686,44,11686.35
261.52302,11327,44,11327.22
261.77802,10779,44,10779.88
262.03302,10712,44,10712.04
262.28802,11009,44,11009.25
262.54398,11204,44,11204.4
262.79898,11291,44,11291.43
263.05398,11435,44,11435.39
263.31,11482,44,11482.71
263.565,11296,44,11296.32
263.82,11187,44,11187.01
264.07602,11298,44,11298.05
264.33102,11282,44,11282.15
264.58602,11203,44,11203.75
264.84102,11498,44,11498.96
265.09698,11977,44,11977.95
265.35198,12042,44,12042.73
265.60698,11665,44,11665.01
265.863,11358,44,11358.74
266.118,11446,44,11446.45
266.373,11763,44,11763.5
266.62902,11953,44,11953.06
266.88402,11895,44,11895.43
267.13902,11815,44,11815.26
267.39402,11935,44,11935.85
267.64998,12028,44,12028.04
267.90498,11783,44,11783.63
268.161,11390,44,11390.24
268.416,11143,44,11143.74
268.671,11060,44,11060.99
268.926,11068,44,11068.02
269.18202,11076,44,11076.72
269.43702,11082,44,11082.77
269.69202,11175,44,11175.02
269.94702,11282,44,11282.9
270.20298,11285,44,11285.26
270.45798,11226,44,11226.98
270.714,11238,44,11238.04
270.969,11313,44,11313.84
271.224,11275,44,11275.58
271.479,11143,44,11143.08
271.73502,11248,44,11248.58
271.99002,11611,44,11611.92
272.24502,11751,44,11751.82
272.50002,11571,44,11571.73
272.75598,11451,44,11451.23
273.01098,11301,44,11301.78
273.267,10996,44,10996.26
273.522,11003,44,11003.37
273.777,11344,44,11344.11
274.03302,11457,44,11457.54
274.28802,11259,44,11259.89
274.54302,10975,44,10975.31
274.79802,10763,44,10763.97
275.05398,10846,44,10846.22
275.30898,11103,44,11103.71
275.56398,11192,44,11192.55
275.82,11220,44,11220.1
276.075,11330,44,11330.75
