"Year","Keyword","x","Incidenceweight"
2019,"ENERGETIC MATERIAL",11,"10-14"
2020,"ENERGETIC MATERIAL",12,"10-14"
2021,"ENERGETIC MATERIAL",15,"15-19"
2007,"EXPLOSION",2,"1-2"
2008,"EXPLOSION",1,"1-2"
2009,"EXPLOSION",1,"1-2"
2010,"EXPLOSION",2,"1-2"
2011,"EXPLOSION",1,"1-2"
2012,"EXPLOSION",2,"1-2"
2013,"EXPLOSION",2,"1-2"
2014,"EXPLOSION",3,"3-5"
2017,"EXPLOSION",6,"6-9"
2018,"EXPLOSION",1,"1-2"
2019,"EXPLOSION",2,"1-2"
2020,"EXPLOSION",2,"1-2"
2021,"EXPLOSION",6,"6-9"
2022,"EXPLOSION",1,"1-2"
2001,"EXPLOSIVE",7,"6-9"
2002,"EXPLOSIVE",6,"6-9"
2003,"EXPLOSIVE",6,"6-9"
2004,"EXPLOSIVE",3,"3-5"
2005,"EXPLOSIVE",6,"6-9"
2006,"EXPLOSIVE",7,"6-9"
2007,"EXPLOSIVE",34,"30-39"
2008,"EXPLOSIVE",22,"20-24"
2009,"EXPLOSIVE",34,"30-39"
2010,"EXPLOSIVE",46,"40-49"
2011,"EXPLOSIVE",50,">49"
2012,"EXPLOSIVE",61,">49"
2013,"EXPLOSIVE",41,"40-49"
2014,"EXPLOSIVE",54,">49"
2015,"EXPLOSIVE",26,"25-29"
2016,"EXPLOSIVE",50,">49"
2017,"EXPLOSIVE",38,"30-39"
2018,"EXPLOSIVE",55,">49"
2019,"EXPLOSIVE",42,"40-49"
2020,"EXPLOSIVE",42,"40-49"
2021,"EXPLOSIVE",37,"30-39"
2022,"EXPLOSIVE",2,"1-2"
2001,"EXPLOSIVE DETECTION",1,"1-2"
2004,"EXPLOSIVE DETECTION",1,"1-2"
2005,"EXPLOSIVE DETECTION",2,"1-2"
2006,"EXPLOSIVE DETECTION",2,"1-2"
2007,"EXPLOSIVE DETECTION",7,"6-9"
2008,"EXPLOSIVE DETECTION",3,"3-5"
2009,"EXPLOSIVE DETECTION",10,"10-14"
2010,"EXPLOSIVE DETECTION",23,"20-24"
2011,"EXPLOSIVE DETECTION",24,"20-24"
2012,"EXPLOSIVE DETECTION",38,"30-39"
2013,"EXPLOSIVE DETECTION",7,"6-9"
2014,"EXPLOSIVE DETECTION",24,"20-24"
2015,"EXPLOSIVE DETECTION",8,"6-9"
2016,"EXPLOSIVE DETECTION",25,"25-29"
2017,"EXPLOSIVE DETECTION",25,"25-29"
2018,"EXPLOSIVE DETECTION",15,"15-19"
2019,"EXPLOSIVE DETECTION",19,"15-19"
2020,"EXPLOSIVE DETECTION",21,"20-24"
2021,"EXPLOSIVE DETECTION",18,"15-19"
2022,"EXPLOSIVE DETECTION",2,"1-2"
2003,"EXPLOSIVE RESIDUE",1,"1-2"
2009,"EXPLOSIVE RESIDUE",1,"1-2"
