Label,Lngx,Laty,Continent,ID
Gaithersburg USA,-77.22,39.14,Americas,Gaithersburg USA
Bucharest Romania,26.1,44.44,Europe,Bucharest Romania
Jilin China,126.55,43.85,Asia,Jilin China
Istanbul Turkey,29,41.1,Asia,Istanbul Turkey
Kazan Russia,49.13,55.75,Europe,Kazan Russia
Geneva Switzerland,6.14,46.21,Europe,Geneva Switzerland
Madison USA,-89.39,43.08,Americas,Madison USA
Garching Germany,11.65,48.24,Europe,Garching Germany
Karlskoga Sweden,14.5,59.33,Europe,Karlskoga Sweden
Beavercreek USA,-84.06,39.73,Americas,Beavercreek USA
Manchester USA,-71.44,42.98,Americas,Manchester USA
Manchester UK,-2.25,53.48,Europe,Manchester UK
Didcot UK,-1.25,51.6,Europe,Didcot UK
Zanjan Iran,48.5,36.67,Asia,Zanjan Iran
Kagawa Japan,134.03,34.23,Asia,Kagawa Japan
Bamberg Germany,10.9,49.9,Europe,Bamberg Germany
Belfast UK,-5.93,54.6,Europe,Belfast UK
Stockholm Sweden,18.07,59.33,Europe,Stockholm Sweden
Kyoto Japan,135.75,35.01,Asia,Kyoto Japan
Kashiwa Japan,139.97,35.87,Asia,Kashiwa Japan
Chiba Japan,140.11,35.61,Asia,Chiba Japan
Heidelberg Germany,8.69,49.42,Europe,Heidelberg Germany
Covington USA,-84.51,39.04,Americas,Covington USA
Jerusalem Israel,35.22,31.78,Asia,Jerusalem Israel
Irvine USA,-117.8,33.66,Americas,Irvine USA
Vienna Austria,16.37,48.22,Europe,Vienna Austria
Tsukuba Japan,140.09,36.21,Asia,Tsukuba Japan
Southampton UK,-1.41,50.91,Europe,Southampton UK
Stillwater USA,-97.07,36.13,Americas,Stillwater USA
Albuquerque USA,-106.62,35.12,Americas,Albuquerque USA
Dallas USA,-96.77,32.79,Americas,Dallas USA
Gent Belgium,3.72,51.05,Europe,Gent Belgium
Houston USA,-95.39,29.77,Americas,Houston USA
Karlsruhe Germany,8.4,49,Europe,Karlsruhe Germany
Edinburgh UK,-3.22,55.95,Europe,Edinburgh UK
Morelia Mexico,-101.18,19.72,Americas,Morelia Mexico
Bonn Germany,7.1,50.73,Europe,Bonn Germany
