"RunID","Surface_type","Study","Target","Mean_Pressure","RSD_Pressure","Stable_Time_Pct","Flag_15Pct_Outlier","Success","analysis_accepted","PETN_Recovery_pct","RDX_Recovery_pct","QC_Status","Pressure_Outlier"
"MAIN_014","abs","Main",100,105.085134168157,2.48063450512501,21.8455129492061,FALSE,TRUE,"PASS",13.2422287595217,13.7144867438712,"PASS",FALSE
"MAIN_015","abs","Main",10,11.6089144050104,7.27670578421022,65.1208322375126,TRUE,TRUE,"PASS",8.77192989659098,8.05260374355491,"PASS",TRUE
"MAIN_016","abs","Main",100,108.273386809269,3.36067129147315,20.8066296587481,FALSE,TRUE,"PASS",21.9297027662482,19.4872151733159,"PASS",FALSE
"MAIN_017","abs","Main",300,303.458787185355,1.34874567874247,7.44814720784137,FALSE,TRUE,"PASS",13.602402604995,11.3659994068451,"PASS",FALSE
"MAIN_018","abs","Main",100,107.599116541353,2.61014185796337,20.1669602949325,FALSE,TRUE,"FAIL: PETN 6ng QC bracket FAILED or unavailable",23.8259545488409,20.809510286367,"QC Flagged",FALSE
"MAIN_019","steel","Main",300,296.41883424408,0.938186501530655,12.1419617304095,FALSE,TRUE,"PASS",35.3901193445227,32.8323747919584,"PASS",FALSE
"MAIN_020","steel","Main",300,289.066167883212,0.838149776483014,10.2261124140457,FALSE,TRUE,"PASS",25.5126011912032,18.3388467114975,"PASS",FALSE
"MAIN_021","steel","Main",300,291.28364990689,0.840451582671279,12.8873882188854,FALSE,TRUE,"PASS",22.6572832033084,22.3691879197939,"PASS",FALSE
"MAIN_022","steel","Main",300,295.499233576642,1.08304997029653,10.0498039215683,FALSE,TRUE,"PASS",17.9097197780726,20.1563100728154,"PASS",FALSE
"MAIN_023","steel","Main",10,9.92466071428571,10.5037055219346,64.3959598952907,FALSE,TRUE,"PASS",17.3900511667524,14.6301365403081,"PASS",FALSE
"MAIN_024","steel","Main",100,104.325968992248,3.06074063946474,4.99892800062363,FALSE,TRUE,"PASS",27.8791764456032,31.9003997062495,"PASS",FALSE
"MAIN_025","abs","Main",100,97.2333885819521,1.44559167814827,22.2910915268625,FALSE,TRUE,"PASS",11.8644293395384,18.8685724231419,"PASS",FALSE
"MAIN_026","abs","Main",10,10.083526119403,7.19662886367476,62.4855824682792,FALSE,TRUE,"PASS",3.9371046101765,7.32096055616408,"PASS",FALSE
"MAIN_027","abs","Main",100,91.3561080074488,1.03956199225478,23.2673822268298,FALSE,TRUE,"FAIL: RDX 6ng QC bracket FAILED or unavailable",10.8645618174681,20.6635477666719,"QC Flagged",FALSE
"MAIN_028","abs","Main",10,11.1453404255319,5.95149612896891,65.7404897442824,FALSE,TRUE,"PASS",4.56868030081513,8.97901468281948,"PASS",FALSE
"MAIN_029","abs","Main",100,95.6698899082569,1.43609418289757,22.9094778789105,FALSE,TRUE,"PASS",14.3995843716694,19.2044063702876,"PASS",FALSE
"MAIN_030","abs","Main",10,14.8051724137931,13.3102175084681,49.7055317955531,TRUE,TRUE,"PASS",5.59183236238283,8.09377838366507,"PASS",TRUE
"MAIN_031","steel","Main",100,91.4096153846154,2.6991251978863,21.0986184984281,FALSE,TRUE,"PASS",23.0942613029054,27.9812212639043,"PASS",FALSE
"MAIN_033","steel","Main",10,9.25304498269896,13.0157499367986,67.0125410570293,FALSE,TRUE,"PASS",20.8181329210553,37.3476046219119,"PASS",FALSE
"MAIN_034","steel","Main",100,102.314218009479,2.41092582872836,16.2317336573177,FALSE,TRUE,"FAIL: RDX 6ng QC bracket FAILED or unavailable",16.4928996141896,21.9936771106148,"QC Flagged",FALSE
"MAIN_035","steel","Main",300,283.93684021544,1.59402320152843,10.141022500612,FALSE,TRUE,"PASS",18.2821041376829,27.8592626689036,"PASS",FALSE
"MAIN_036","steel","Main",10,11.5546560846561,8.71286175381853,42.308173269306,TRUE,TRUE,"PASS",7.02667284908711,13.0032454098222,"PASS",TRUE
"MAIN_037","abs","Main",50,48.5259316239316,3.48718436484921,38.4948511778798,FALSE,TRUE,"PASS",7.24473433936214,13.3989142700863,"PASS",FALSE
"MAIN_038","abs","Main",50,46.1220462633452,4.52064928302457,37.8105781057797,FALSE,TRUE,"FAIL: RDX 6ng QC bracket FAILED or unavailable",8.43070625231658,16.0528315081442,"QC Flagged",FALSE
"MAIN_039","steel","Main",200,187.819920477137,1.62808123275881,13.0838956704226,FALSE,TRUE,"PASS",18.6992723546041,29.3693086061482,"PASS",FALSE
"MAIN_040","steel","Main",50,44.7791872791519,6.87385717283845,36.7497034400936,FALSE,TRUE,"PASS",10.5147653174295,17.7953565885108,"PASS",FALSE
"MAIN_041","abs","Main",200,202.965414634146,1.4932594012005,4.94204311558858,FALSE,TRUE,"PASS",14.3119284048207,18.494033343869,"PASS",FALSE
"MAIN_042","abs","Main",200,198.000367647059,1.76985374327788,13.4194474345168,FALSE,TRUE,"FAIL: RDX 6ng QC bracket FAILED or unavailable",10.215656552496,18.5809410407016,"QC Flagged",FALSE
"MAIN_043","steel","Main",50,39.9282624768946,5.5590619416282,37.8645385902233,TRUE,TRUE,"PASS",16.6765029841671,23.9365828382672,"PASS",TRUE
"MAIN_044","steel","Main",200,195.959896480331,1.73776537781499,12.0456621004562,FALSE,TRUE,"FAIL: RDX 6ng QC bracket FAILED or unavailable",27.7609470970197,43.1035974434422,"QC Flagged",FALSE
"MAIN_032","steel","Main",100,99.7697523809524,2.79653473805129,20.1636886271189,FALSE,TRUE,NA,NA,NA,"Unknown",FALSE
"PILOT_005","steel","Pilot",50,47.6494973070018,4.0492293972783,33.8300653594758,FALSE,TRUE,"PASS*",15.4334249601877,24.9697018311242,"QC Flagged",FALSE
"PILOT_009","steel","Pilot",200,205.208042635659,1.88599197702939,11.7050956938964,FALSE,TRUE,"PASS",17.0675623691599,29.1787818572288,"PASS",FALSE
"PILOT_025","abs","Pilot",50,52.1476119402985,4.83003952984175,37.7806389313577,FALSE,TRUE,"PASS",16.945734747987,17.880685984785,"PASS",FALSE
"PILOT_014","abs","Pilot",50,34.9976203208556,4.16281553797979,33.0986333927498,TRUE,TRUE,"PASS",9.25509492756823,6.73518853364722,"PASS",TRUE
"PILOT_023","abs","Pilot",200,191.502635379061,1.44264719587052,17.0579029733953,FALSE,TRUE,"PASS",21.1697555654999,15.3378343904913,"PASS",FALSE
