"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lv S.; Feng H.; Lou W.; Xiao C.; Su W.; He B.","Lv, Sining (57538435700); Feng, Hengzhen (56978567500); Lou, Wenzhong (15757538600); Xiao, Chuan (35294544200); Su, Wenting (57536382300); He, Bo (57227125400)","57538435700; 56978567500; 15757538600; 35294544200; 57536382300; 57227125400","Development of an Energetic Material Information Self-Destruction Microsystem Based on Bistable Off-On Actuator Composed of Fusible Alloy","2023","IEEE Sensors Journal","23","17","","19974","19985","11","2","10.1109/JSEN.2023.3268700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159694694&doi=10.1109%2fJSEN.2023.3268700&partnerID=40&md5=e247b3b6aeeab7e17310c32698cb83c2","Article","Final","","Scopus","2-s2.0-85159694694"
"Chaturvedi R.; Islam A.; Singh P.K.; Saraswat M.","Chaturvedi, Rishabh (57220043941); Islam, Anas (57222517480); Singh, Pradeep Kumar (57220983883); Saraswat, Manish (57208258954)","57220043941; 57222517480; 57220983883; 57208258954","Nanotechnology for advanced energy system: Synthesis & performance characterization of nano-fuel","2023","AIP Conference Proceedings","2721","1","070076","","","","1","10.1063/5.0154059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176768193&doi=10.1063%2f5.0154059&partnerID=40&md5=a60bc5994cde1703bb0dffe7b6e387d9","Conference paper","Final","","Scopus","2-s2.0-85176768193"
"Montoya G.A.; Chapman W.W.; Lawrence J.R.; Salyer T.R.; Son S.F.","Montoya, Gabriel A. (58184160300); Chapman, Wesley W. (57218499662); Lawrence, Joseph R. (57222372750); Salyer, Terry R. (6505924018); Son, Steven F. (7202529994)","58184160300; 57218499662; 57222372750; 6505924018; 7202529994","Effects of sub-mm cylindrical voids on detonation performance in PBX 9501","2023","Propellants, Explosives, Pyrotechnics","48","5","e202200213","","","","4","10.1002/prep.202200213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152530655&doi=10.1002%2fprep.202200213&partnerID=40&md5=c557559b0518620a3c3b8279f3e6b1a4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85152530655"
"Yu G.; Zeng Y.; Wu H.; Song Y.; Zheng X.; Tan D.; Wu Q.; Yang Y.","Yu, Guoyang (37049555900); Zeng, Yangyang (56529955600); Wu, Honglin (56331119500); Song, Yunfei (55494057300); Zheng, Xianxu (56295581300); Tan, Duowang (7202901856); Wu, Qiang (57075348700); Yang, Yanqiang (35328836000)","37049555900; 56529955600; 56331119500; 55494057300; 56295581300; 7202901856; 57075348700; 35328836000","Tracing temperature and pressure evolutions in shocked TATB-based PBX by time-resolved Raman spectroscopy","2023","Journal of Raman Spectroscopy","54","4","","379","384","5","1","10.1002/jrs.6499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147298838&doi=10.1002%2fjrs.6499&partnerID=40&md5=a55d888a7b80443615e890ff38314e1a","Article","Final","","Scopus","2-s2.0-85147298838"
"Gong S.-H.; Lu Z.-Y.; Li Z.-H.; Cai C.","Gong, Sai-Hua (57947525300); Lu, Zhi-Yan (57948007500); Li, Zhi-Hua (57883287700); Cai, Chun (8224772600)","57947525300; 57948007500; 57883287700; 8224772600","Treatment of NTO Washing Water with Heterogeneous Photo-fenton Oxidation-blowing off; [非均相光 Fenton 降解-吹脱处理 NTO 工业洗涤水的研究]","2023","Hanneng Cailiao/Chinese Journal of Energetic Materials","31","5","","477","484","7","1","10.11943/CJEM2023020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162998748&doi=10.11943%2fCJEM2023020&partnerID=40&md5=8424608dde9a0d64ed890e6d0e21ff2a","Article","Final","","Scopus","2-s2.0-85162998748"
"Bondarchuk S.V.","Bondarchuk, Sergey V. (26430480900)","26430480900","Prediction of aquatic toxicity of energetic materials using genetic function approximation","2023","FirePhysChem","3","1","","23","28","5","4","10.1016/j.fpc.2022.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152860800&doi=10.1016%2fj.fpc.2022.07.001&partnerID=40&md5=563f82fca5e78ebb3282af5de0383c5b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152860800"
"Wang C.; Wan C.; Chen S.-H.; Ma H.-X.; Zhao F.-Q.; Xu K.-Z.","Wang, Chen (58510702400); Wan, Chong (57330135500); Chen, Su-Hang (57196072735); Ma, Hai-Xia (7403096304); Zhao, Feng-Qi (36041628300); Xu, Kang-Zhen (55573595500)","58510702400; 57330135500; 57196072735; 7403096304; 36041628300; 55573595500","Advances in the Application of Hyphenated Techniques in the Thermal Analysis of Energetic Materials; [热 分 析 联 用 技 术 在 含 能 材 料 热 分 析 研 究 中 的 应 用 进 展]","2023","Hanneng Cailiao/Chinese Journal of Energetic Materials","31","4","","411","423","12","6","10.11943/CJEM2022111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166066406&doi=10.11943%2fCJEM2022111&partnerID=40&md5=3e327fc2127fbe2bc168b3183469a5cc","Review","Final","","Scopus","2-s2.0-85166066406"
"Fershtat L.L.","Fershtat, Leonid L. (36457430400)","36457430400","Recent advances in the synthesis and performance of 1,2,4,5-tetrazine-based energetic materials","2023","FirePhysChem","3","1","","78","87","9","21","10.1016/j.fpc.2022.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186844822&doi=10.1016%2fj.fpc.2022.09.005&partnerID=40&md5=e7e6517dbaf37238f02181d146747d12","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85186844822"
"Li M.; Wang Y.; Zhou X.; Zhang Q.; Chen M.; Han D.; Gong J.; Li H.","Li, Min (57226536266); Wang, Ying (57193156553); Zhou, Xin (57281610800); Zhang, Qi (55992885100); Chen, Mingyang (56461629400); Han, Dandan (56643631300); Gong, Junbo (8836484400); Li, Hongzhen (15034186200)","57226536266; 57193156553; 57281610800; 55992885100; 56461629400; 56643631300; 8836484400; 15034186200","Fabrication of micro/nano spherulitic hierarchical energetic materials via noncrystallographic branching induced by polymer additives: A case study of 2,2′,4,4′,6,6′-hexanitrostilbene (HNS)","2023","Chemical Engineering Journal","462","","142162","","","","15","10.1016/j.cej.2023.142162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149359847&doi=10.1016%2fj.cej.2023.142162&partnerID=40&md5=07ebf944a923593c7208ff5a3ea96183","Article","Final","","Scopus","2-s2.0-85149359847"
"Liu W.; Liu Y.; Gao F.; Wang W.; Wang Y.","Liu, Weixiao (37005788900); Liu, Yang (58180856500); Gao, Fulei (37005573200); Wang, Wei (57189263702); Wang, Yinglei (35188154900)","37005788900; 58180856500; 37005573200; 57189263702; 35188154900","Application of microreactor in synthesis and quality improvement of energetic materials; [微反应器在含能材料合成与品质提升中的应用]","2023","Huagong Jinzhan/Chemical Industry and Engineering Progress","42","7","","3349","3364","15","2","10.16085/j.issn.1000-6613.2023-0329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169557530&doi=10.16085%2fj.issn.1000-6613.2023-0329&partnerID=40&md5=106fb48d384421ed134c4da078e8d6fc","Article","Final","","Scopus","2-s2.0-85169557530"
