"DOI","Link","Abstract","EID"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105784869&partnerID=40&md5=8b5896278dcdc1c665f3dc4fe6a977ac","[No abstract available]","2-s2.0-85105784869"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146280226&partnerID=40&md5=c5710222b7a4962846b9c423df525bcc","[No abstract available]","2-s2.0-85146280226"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146278675&partnerID=40&md5=369b38ff3b87ad5a3067279e5cee15d9","[No abstract available]","2-s2.0-85146278675"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146287815&partnerID=40&md5=3b4445d947adfadb2492c10ae25a6907","[No abstract available]","2-s2.0-85146287815"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116586595&partnerID=40&md5=4ffb61000315bec149d693695391655e","[No abstract available]","2-s2.0-85116586595"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075877086&partnerID=40&md5=35a8f6f89107864d6d871e0ff7aac528","[No abstract available]","2-s2.0-85075877086"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146294984&partnerID=40&md5=90083d379326b8b8970905e3ac9de259","[No abstract available]","2-s2.0-85146294984"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146270889&partnerID=40&md5=9aebba54e5422104bf7f9c0e3e79a8c6","[No abstract available]","2-s2.0-85146270889"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126353411&partnerID=40&md5=a63518b57c36df6d8b0ea81f76a5e763","[No abstract available]","2-s2.0-85126353411"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116713138&partnerID=40&md5=5c32cc14d4d37872cac8bfa57fb5c5b0","[No abstract available]","2-s2.0-85116713138"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146266539&partnerID=40&md5=fe30af9b2c2e838bd1600a93f033b1a4","[No abstract available]","2-s2.0-85146266539"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146285610&partnerID=40&md5=4176dc4fb9b712c134b53d39ce8a151f","[No abstract available]","2-s2.0-85146285610"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146298469&partnerID=40&md5=4c8a34a84b593b67526049cc593f4bd6","[No abstract available]","2-s2.0-85146298469"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146267197&partnerID=40&md5=3e89466c587c33b1d2ffc32bd45374cc","[No abstract available]","2-s2.0-85146267197"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086595945&partnerID=40&md5=d27483237f1820baecf89e43445be8d1","[No abstract available]","2-s2.0-85086595945"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277713&partnerID=40&md5=8449deb491451e40c7ecd2b15cd303b2","[No abstract available]","2-s2.0-85146277713"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146287776&partnerID=40&md5=2a63aaf774511e678538bd5de824f421","[No abstract available]","2-s2.0-85146287776"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098593100&partnerID=40&md5=a6c0233446bab74709ddf2c88c023d58","[No abstract available]","2-s2.0-85098593100"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908517587&partnerID=40&md5=10518d0fab6b6311dda62a51eaabcebc","[No abstract available]","2-s2.0-84908517587"
