"Year","Keyword","x","Incidenceweight"
2020,"2,4,6-Trinitrotoluene (TNT)",17,"15-19"
2021,"2,4,6-Trinitrotoluene (TNT)",13,"10-14"
2007,"Activation Energy",1,"1-2"
2008,"Activation Energy",1,"1-2"
2009,"Activation Energy",2,"1-2"
2011,"Activation Energy",1,"1-2"
2012,"Activation Energy",3,"3-5"
2013,"Activation Energy",2,"1-2"
2014,"Activation Energy",1,"1-2"
2016,"Activation Energy",1,"1-2"
2018,"Activation Energy",1,"1-2"
2020,"Activation Energy",2,"1-2"
2021,"Activation Energy",1,"1-2"
2005,"Adsorption",1,"1-2"
2010,"Adsorption",2,"1-2"
2011,"Adsorption",4,"3-5"
2012,"Adsorption",2,"1-2"
2013,"Adsorption",1,"1-2"
2014,"Adsorption",1,"1-2"
2015,"Adsorption",1,"1-2"
2018,"Adsorption",1,"1-2"
2019,"Adsorption",1,"1-2"
2021,"Adsorption",2,"1-2"
2011,"Aggregation-Induced Emission (AIE)",1,"1-2"
2014,"Aggregation-Induced Emission (AIE)",2,"1-2"
2015,"Aggregation-Induced Emission (AIE)",1,"1-2"
2017,"Aggregation-Induced Emission (AIE)",3,"3-5"
2018,"Aggregation-Induced Emission (AIE)",5,"3-5"
2019,"Aggregation-Induced Emission (AIE)",2,"1-2"
2020,"Aggregation-Induced Emission (AIE)",4,"3-5"
2021,"Aggregation-Induced Emission (AIE)",5,"3-5"
2014,"Aluminized Explosive",2,"1-2"
2018,"Aluminized Explosive",1,"1-2"
2019,"Aluminized Explosive",3,"3-5"
2020,"Aluminized Explosive",4,"3-5"
2021,"Aluminized Explosive",4,"3-5"
2022,"Aluminized Explosive",1,"1-2"
2001,"Ammonium Nitrate (AN)",1,"1-2"
2003,"Ammonium Nitrate (AN)",1,"1-2"
2004,"Ammonium Nitrate (AN)",1,"1-2"
2007,"Ammonium Nitrate (AN)",1,"1-2"
2008,"Ammonium Nitrate (AN)",2,"1-2"
2009,"Ammonium Nitrate (AN)",2,"1-2"
2010,"Ammonium Nitrate (AN)",3,"3-5"
2012,"Ammonium Nitrate (AN)",1,"1-2"
2013,"Ammonium Nitrate (AN)",1,"1-2"
2014,"Ammonium Nitrate (AN)",5,"3-5"
2015,"Ammonium Nitrate (AN)",4,"3-5"
2016,"Ammonium Nitrate (AN)",3,"3-5"
2017,"Ammonium Nitrate (AN)",3,"3-5"
2018,"Ammonium Nitrate (AN)",11,"10-14"
2019,"Ammonium Nitrate (AN)",6,"6-9"
2020,"Ammonium Nitrate (AN)",7,"6-9"
2021,"Ammonium Nitrate (AN)",7,"6-9"
2022,"Ammonium Nitrate (AN)",1,"1-2"
2012,"Ammonium Perchlorate",1,"1-2"
2013,"Ammonium Perchlorate",1,"1-2"
2014,"Ammonium Perchlorate",2,"1-2"
2015,"Ammonium Perchlorate",1,"1-2"
2018,"Ammonium Perchlorate",4,"3-5"
2020,"Ammonium Perchlorate",5,"3-5"
2021,"Ammonium Perchlorate",8,"6-9"
2008,"Biodegradation",2,"1-2"
2009,"Biodegradation",4,"3-5"
2010,"Biodegradation",6,"6-9"
2011,"Biodegradation",3,"3-5"
2012,"Biodegradation",4,"3-5"
2013,"Biodegradation",6,"6-9"
2014,"Biodegradation",1,"1-2"
2018,"Biodegradation",1,"1-2"
2020,"Biodegradation",2,"1-2"
2021,"Biodegradation",1,"1-2"
2007,"Biosensor",1,"1-2"
2008,"Biosensor",3,"3-5"
2010,"Biosensor",2,"1-2"
2012,"Biosensor",1,"1-2"
2013,"Biosensor",1,"1-2"
2014,"Biosensor",1,"1-2"
2015,"Biosensor",1,"1-2"
2016,"Biosensor",1,"1-2"
2018,"Biosensor",4,"3-5"
2019,"Biosensor",1,"1-2"
2020,"Biosensor",2,"1-2"
2021,"Biosensor",4,"3-5"
2009,"Blast",1,"1-2"
2010,"Blast",2,"1-2"
2011,"Blast",2,"1-2"
2012,"Blast",3,"3-5"
2013,"Blast",1,"1-2"
2014,"Blast",3,"3-5"
2015,"Blast",1,"1-2"
2019,"Blast",1,"1-2"
2020,"Blast",1,"1-2"
2021,"Blast",1,"1-2"
2008,"Blast Injuries",2,"1-2"
2009,"Blast Injuries",1,"1-2"
2010,"Blast Injuries",3,"3-5"
2011,"Blast Injuries",1,"1-2"
2012,"Blast Injuries",2,"1-2"
2014,"Blast Injuries",1,"1-2"
2020,"Blast Injuries",1,"1-2"
2021,"Blast Injuries",4,"3-5"
2001,"Capillary Electrophoresis (CE)",3,"3-5"
2005,"Capillary Electrophoresis (CE)",1,"1-2"
2006,"Capillary Electrophoresis (CE)",1,"1-2"
2008,"Capillary Electrophoresis (CE)",1,"1-2"
2010,"Capillary Electrophoresis (CE)",3,"3-5"
2012,"Capillary Electrophoresis (CE)",1,"1-2"
2013,"Capillary Electrophoresis (CE)",2,"1-2"
2014,"Capillary Electrophoresis (CE)",1,"1-2"
2016,"Capillary Electrophoresis (CE)",1,"1-2"
2019,"Capillary Electrophoresis (CE)",1,"1-2"
2020,"Capillary Electrophoresis (CE)",2,"1-2"
2021,"Capillary Electrophoresis (CE)",2,"1-2"
2013,"Combustion",2,"1-2"
2018,"Combustion",2,"1-2"
2019,"Combustion",5,"3-5"
2020,"Combustion",1,"1-2"
2021,"Combustion",5,"3-5"
2010,"Conjugated Polymer",2,"1-2"
2011,"Conjugated Polymer",2,"1-2"
